Año,Trimestre,Provincia,Accesos por cada 100 hogares
2015,3,Formosa,18.8367517737853
2015,3,Jujuy,21.2703333470887
2015,3,La Pampa,57.9639597509152
2015,3,La Rioja,17.1511294420325
2015,3,Mendoza,32.4919958318665
2015,3,Misiones,28.3063450934369
2015,3,Neuquen,54.5993148967112
2015,3,Rio Negro,46.3891866567451
2015,3,Salta,31.1759452128584
2015,3,San Juan,27.66538565566
2015,3,San Luis,9.70650326873876
2015,3,Santa Cruz,27.6060609834294
2015,3,Santa Fe,52.1459547408435
2015,3,Santiago Del Estero,17.1188225313532
2015,3,Tierra Del Fuego,74.8584578403385
2015,3,Tucuman,36.6103595277426
2015,4,Buenos Aires,58.2918218273372
2015,4,Capital Federal,118.130363211538
2015,4,Catamarca,26.2394517885919
2015,4,Chaco,28.3505662351414
2015,4,Chubut,36.8901782778659
2015,4,Cordoba,57.3648817660792
2015,4,Corrientes,30.3364314453388
2015,4,Entre Rios,44.108548073001
2015,4,Formosa,19.0654915167863
2015,4,Jujuy,21.4714737939107
2015,4,La Pampa,58.7563372001228
2015,4,La Rioja,17.3157786484107
2015,4,Mendoza,32.4889524950014
2015,4,Misiones,28.6866588915424
2015,4,Neuquen,58.2893377687955
2015,4,Rio Negro,46.4394811149431
2015,4,Salta,31.5934926480719
2015,4,San Juan,27.6648539357743
2015,4,San Luis,9.70576898450631
2015,4,Santa Cruz,27.7447690664797
2015,4,Santa Fe,52.6080897858581
2015,4,Santiago Del Estero,17.0049780380361
2015,4,Tierra Del Fuego,66.4622043362379
2015,4,Tucuman,37.0621732832959
2016,1,Buenos Aires,57.3359078225411
2016,1,Capital Federal,115.160058888848
2016,1,Catamarca,25.9102179811905
2016,1,Chaco,28.0751464477524
2016,1,Chubut,36.0927055378499
2016,1,Cordoba,55.2830927837402
2016,1,Corrientes,30.0807850041331
2016,1,Entre Rios,43.8459681446623
2016,1,Formosa,19.0418783694349
2016,1,Jujuy,21.410011288564
2016,1,La Pampa,57.8408686550453
2016,1,La Rioja,16.8335183724942
2016,1,Mendoza,32.1233388880128
2016,1,Misiones,28.3676525909563
2016,1,Neuquen,55.7539370042541
2016,1,Rio Negro,45.8351263870833
2016,1,Salta,31.3155459711532
2016,1,San Juan,27.3307941100043
2016,1,San Luis,9.58634628277021
2016,1,Santa Cruz,26.86586252145
2016,1,Santa Fe,51.2773408540762
2016,1,Santiago Del Estero,16.205749206822
2016,1,Tierra Del Fuego,65.8330416313501
2016,1,Tucuman,36.7247713663659
2016,2,Buenos Aires,59.3385267910581
2016,2,Capital Federal,120.039535048253
