Año,Trimestre,Provincia,Mbps (Media de bajada)
2015,2,Tucuman,4.30681276746996
2015,3,Buenos Aires,4.70059791427046
2015,3,Capital Federal,5.66468043459464
2015,3,Catamarca,3.88456387259975
2015,3,Chaco,5.46643296553986
2015,3,Chubut,3.27903841147495
2015,3,Cordoba,4.86784900122509
2015,3,Corrientes,5.06347381678221
2015,3,Entre Rios,4.76671236672909
2015,3,Formosa,4.16616410219452
2015,3,Jujuy,3.53272455120101
2015,3,La Pampa,2.91493221414279
2015,3,La Rioja,4.24585057539801
2015,3,Mendoza,3.50016095102191
2015,3,Misiones,5.63428905090369
2015,3,Neuquen,4.22994398489574
2015,3,Rio Negro,3.73683145620249
2015,3,Salta,4.42183141297756
2015,3,San Juan,3.48109282037388
2015,3,San Luis,3.50275387159826
2015,3,Santa Cruz,3.48068774435859
2015,3,Santa Fe,4.55989545240263
2015,3,Santiago Del Estero,3.91123732169146
2015,3,Tierra Del Fuego,3.47772105693272
2015,3,Tucuman,4.5723186672303
2015,4,Buenos Aires,4.88414890585654
2015,4,Capital Federal,5.92780352297904
2015,4,Catamarca,4.1242683691587
2015,4,Chaco,5.82838418079096
2015,4,Chubut,3.2838650316133
2015,4,Cordoba,5.06708149326841
2015,4,Corrientes,5.25948212049208
2015,4,Entre Rios,5.00785590529936
2015,4,Formosa,4.66030856858068
2015,4,Jujuy,3.7246804758923
2015,4,La Pampa,2.93674770722963
2015,4,La Rioja,4.52167186392629
2015,4,Mendoza,3.5017779300891
2015,4,Misiones,5.9022914436487
2015,4,Neuquen,4.35559286155294
2015,4,Rio Negro,3.76893229959851
2015,4,Salta,4.67346703814158
2015,4,San Juan,3.48160411695573
2015,4,San Luis,3.50293742586002
2015,4,Santa Cruz,3.48096796191061
2015,4,Santa Fe,4.80987377455356
2015,4,Santiago Del Estero,4.09410169145076
2015,4,Tierra Del Fuego,3.47482486424173
2015,4,Tucuman,4.88229794633078
2016,1,Buenos Aires,4.99216843748391
2016,1,Capital Federal,6.0474037028117
2016,1,Catamarca,4.20358844929513
2016,1,Chaco,5.99147268320831
2016,1,Chubut,3.37966393307142
2016,1,Cordoba,5.15680161704967
2016,1,Corrientes,5.37127911707625
2016,1,Entre Rios,5.08457490560524
2016,1,Formosa,4.87233338042096
2016,1,Jujuy,3.77122134259834
2016,1,La Pampa,3.04764203627926
2016,1,La Rioja,4.61697393805045
2016,1,Mendoza,3.50286892297888
2016,1,Misiones,6.00096871738031
2016,1,Neuquen,4.42049314901527
2016,1,Rio Negro,3.82665919682892
2016,1,Salta,4.74185878457152
2016,1,San Juan,3.48552349076048
2016,1,San Luis,3.50290043923865
2016,1,Santa Cruz,3.48315808971074
2016,1,Santa Fe,4.89813602895205
2016,1,Santiago Del Estero,4.17401156430692
2016,1,Tierra Del Fuego,3.47508263271679
2016,1,Tucuman,5.00403664067989
2016,2,Buenos Aires,5.41514436700482
2016,2,Capital Federal,6.57621893245929
2016,2,Catamarca,4.36483596451661
2016,2,Chaco,6.29735751095808
2016,2,Chubut,3.33597349898555
2016,2,Cordoba,5.51691282300281
2016,2,Corrientes,5.60182256952425
2016,2,Entre Rios,5.13114278330125
2016,2,Formosa,5.10413219586628
2016,2,Jujuy,3.84335304395807
2016,2,La Pampa,3.14606780652538
2016,2,La Rioja,4.77384306700108
2016,2,Mendoza,3.50016856787161
2016,2,Misiones,6.23366056675479
2016,2,Neuquen,4.86640695565863
2016,2,Rio Negro,3.97661641190515
2016,2,Salta,4.74937893532293
2016,2,San Juan,3.48837182942843
2016,2,San Luis,3.50198336917563
2016,2,Santa Cruz,3.50211502760046
2016,2,Santa Fe,5.13859853091851
2016,2,Santiago Del Estero,4.30981517959065
2016,2,Tierra Del Fuego,3.47869246321177
2016,2,Tucuman,5.20097976176087
2016,3,Buenos Aires,5.91491800816368
2016,3,Capital Federal,7.38017269920781
2016,3,Catamarca,4.72524117995849
2016,3,Chaco,6.71822036324595
2016,3,Chubut,3.34386632798464
2016,3,Cordoba,6.06852692351841
2016,3,Corrientes,5.95819256106671
2016,3,Entre Rios,5.58642748832949
2016,3,Formosa,5.4161310069991
2016,3,Jujuy,4.21529113090901
2016,3,La Pampa,3.14499842618823
2016,3,La Rioja,5.07673173900207
2016,3,Mendoza,3.50729080145311
2016,3,Misiones,6.74122226984224
2016,3,Neuquen,5.29216686473129
2016,3,Rio Negro,4.16292428248275
2016,3,Salta,5.05287443655048
2016,3,San Juan,3.48906744628773
2016,3,San Luis,3.50302377404017
2016,3,Santa Cruz,3.53583356483625
2016,3,Santa Fe,5.67726376156478
2016,3,Santiago Del Estero,4.67012308701355
2016,3,Tierra Del Fuego,3.47654537746248
2016,3,Tucuman,5.5446832601914
2016,4,Buenos Aires,6.35154645026031
2016,4,Capital Federal,7.95759624275289
2016,4,Catamarca,4.88571130511986
2016,4,Chaco,7.07753100591982
2016,4,Chubut,3.40719129144482
2016,4,Cordoba,6.46674036390561
2016,4,Corrientes,6.23624560407751
2016,4,Entre Rios,5.80735082912761
2016,4,Formosa,5.63067416491632
2016,4,Jujuy,4.32396274574204
2016,4,La Pampa,3.1895597297498
2016,4,La Rioja,5.34376242721422
2016,4,Mendoza,3.50660346974538
2016,4,Misiones,7.10947580910136
2016,4,Neuquen,5.67844630654237
2016,4,Rio Negro,4.36993046316533
2016,4,Salta,5.22088357784697
2016,4,San Juan,3.49113555404487
2016,4,San Luis,3.50282414997505
2016,4,Santa Cruz,3.56391640895886
2016,4,Santa Fe,6.04023332894067
2016,4,Santiago Del Estero,4.86679443144862
2016,4,Tierra Del Fuego,3.47676146737609
2016,4,Tucuman,5.72776693420211
2017,1,Buenos Aires,6.67848257709171
2017,1,Capital Federal,8.34814731669542
2017,1,Catamarca,4.97378483754513
2017,1,Chaco,7.30790539827282
2017,1,Chubut,3.44338620087336
2017,1,Cordoba,6.79947763737
2017,1,Corrientes,6.43297127701597
2017,1,Entre Rios,5.95147457570752
2017,1,Formosa,5.74238893190157
